name,accelerator,ubuntu,cuda,python,run_image,dev_image
cuda12.6.0-python3.13.4-ubuntu22.04,gpu,22.4.0,12.6.0,3.13.4,r8.im/cog-base:cuda12.6.0-python3.13.4-ubuntu22.04-run,r8.im/cog-base:cuda12.6.0-python3.13.4-ubuntu22.04-dev
cuda12.6.0-python3.13.5-ubuntu22.04,gpu,22.4.0,12.6.0,3.13.5,r8.im/cog-base:cuda12.6.0-python3.13.5-ubuntu22.04-run,r8.im/cog-base:cuda12.6.0-python3.13.5-ubuntu22.04-dev
cuda12.6.0-ubuntu22.04,gpu,22.4.0,12.6.0,,r8.im/cog-base:cuda12.6.0-ubuntu22.04-run,r8.im/cog-base:cuda12.6.0-ubuntu22.04-dev
cuda12.6.1-python3.13.4-ubuntu22.04,gpu,22.4.0,12.6.1,3.13.4,r8.im/cog-base:cuda12.6.1-python3.13.4-ubuntu22.04-run,r8.im/cog-base:cuda12.6.1-python3.13.4-ubuntu22.04-dev
cuda12.6.1-python3.13.5-ubuntu22.04,gpu,22.4.0,12.6.1,3.13.5,r8.im/cog-base:cuda12.6.1-python3.13.5-ubuntu22.04-run,r8.im/cog-base:cuda12.6.1-python3.13.5-ubuntu22.04-dev
cuda12.6.1-ubuntu22.04,gpu,22.4.0,12.6.1,,r8.im/cog-base:cuda12.6.1-ubuntu22.04-run,r8.im/cog-base:cuda12.6.1-ubuntu22.04-dev
cuda12.6.2-python3.13.4-ubuntu22.04,gpu,22.4.0,12.6.2,3.13.4,r8.im/cog-base:cuda12.6.2-python3.13.4-ubuntu22.04-run,r8.im/cog-base:cuda12.6.2-python3.13.4-ubuntu22.04-dev
cuda12.6.2-python3.13.5-ubuntu22.04,gpu,22.4.0,12.6.2,3.13.5,r8.im/cog-base:cuda12.6.2-python3.13.5-ubuntu22.04-run,r8.im/cog-base:cuda12.6.2-python3.13.5-ubuntu22.04-dev
cuda12.6.2-ubuntu22.04,gpu,22.4.0,12.6.2,,r8.im/cog-base:cuda12.6.2-ubuntu22.04-run,r8.im/cog-base:cuda12.6.2-ubuntu22.04-dev
cuda12.6.3-python3.13.4-ubuntu22.04,gpu,22.4.0,12.6.3,3.13.4,r8.im/cog-base:cuda12.6.3-python3.13.4-ubuntu22.04-run,r8.im/cog-base:cuda12.6.3-python3.13.4-ubuntu22.04-dev
cuda12.6.3-python3.13.5-ubuntu22.04,gpu,22.4.0,12.6.3,3.13.5,r8.im/cog-base:cuda12.6.3-python3.13.5-ubuntu22.04-run,r8.im/cog-base:cuda12.6.3-python3.13.5-ubuntu22.04-dev
cuda12.6.3-ubuntu22.04,gpu,22.4.0,12.6.3,,r8.im/cog-base:cuda12.6.3-ubuntu22.04-run,r8.im/cog-base:cuda12.6.3-ubuntu22.04-dev
cuda12.8.0-python3.13.4-ubuntu22.04,gpu,22.4.0,12.8.0,3.13.4,r8.im/cog-base:cuda12.8.0-python3.13.4-ubuntu22.04-run,r8.im/cog-base:cuda12.8.0-python3.13.4-ubuntu22.04-dev
cuda12.8.0-python3.13.5-ubuntu22.04,gpu,22.4.0,12.8.0,3.13.5,r8.im/cog-base:cuda12.8.0-python3.13.5-ubuntu22.04-run,r8.im/cog-base:cuda12.8.0-python3.13.5-ubuntu22.04-dev
cuda12.8.0-ubuntu22.04,gpu,22.4.0,12.8.0,,r8.im/cog-base:cuda12.8.0-ubuntu22.04-run,r8.im/cog-base:cuda12.8.0-ubuntu22.04-dev
cuda12.8.1-python3.13.4-ubuntu22.04,gpu,22.4.0,12.8.1,3.13.4,r8.im/cog-base:cuda12.8.1-python3.13.4-ubuntu22.04-run,r8.im/cog-base:cuda12.8.1-python3.13.4-ubuntu22.04-dev
cuda12.8.1-python3.13.5-ubuntu22.04,gpu,22.4.0,12.8.1,3.13.5,r8.im/cog-base:cuda12.8.1-python3.13.5-ubuntu22.04-run,r8.im/cog-base:cuda12.8.1-python3.13.5-ubuntu22.04-dev
cuda12.8.1-ubuntu22.04,gpu,22.4.0,12.8.1,,r8.im/cog-base:cuda12.8.1-ubuntu22.04-run,r8.im/cog-base:cuda12.8.1-ubuntu22.04-dev
python3.13.4-ubuntu22.04,cpu,22.4.0,,3.13.4,r8.im/cog-base:python3.13.4-ubuntu22.04-run,r8.im/cog-base:python3.13.4-ubuntu22.04-dev
python3.13.5-ubuntu22.04,cpu,22.4.0,,3.13.5,r8.im/cog-base:python3.13.5-ubuntu22.04-run,r8.im/cog-base:python3.13.5-ubuntu22.04-dev
ubuntu22.04,cpu,22.4.0,,,r8.im/cog-base:ubuntu22.04-run,r8.im/cog-base:ubuntu22.04-dev
